time_ms,left_accel_x,left_accel_y,left_accel_z,left_gyro_x,left_gyro_y,left_gyro_z,right_accel_x,right_accel_y,right_accel_z,right_gyro_x,right_gyro_y,right_gyro_z
5167,-0.983,0.127,0.052,0.01667,-0.00444,-0.00111,-0.995,-0.015,0.09,0.0,-0.00333,0.0
5265,-0.984,0.123,0.062,0.00444,0.00222,0.00222,-0.995,-0.018,0.089,0.00778,0.00333,0.00222
5366,-0.984,0.13,0.047,-0.01111,-0.00556,0.0,-0.997,-0.017,0.094,-0.01889,-0.01111,0.00333
5465,-0.982,0.128,0.047,0.00111,-0.00667,-0.00222,-1.0,-0.017,0.087,0.00333,-0.00444,0.00333
5568,-0.982,0.126,0.054,-0.01333,0.00111,0.0,-0.994,-0.014,0.09,-0.00778,-0.00556,0.0
5671,-0.981,0.127,0.054,0.0,-0.00222,0.0,-0.997,-0.017,0.093,0.0,0.0,0.00111
5765,-0.984,0.129,0.052,0.01222,-0.00667,0.0,-1.0,-0.015,0.091,0.0,-0.00444,0.0
5864,-0.984,0.127,0.052,0.00889,-0.00667,0.0,-0.998,-0.02,0.09,0.0,-0.00556,0.00222
5969,-0.984,0.122,0.058,0.0,-0.00222,0.0,-0.996,-0.018,0.094,-0.00222,-0.00444,0.00333
6063,-0.981,0.125,0.053,-0.01444,0.0,0.00111,-0.996,-0.009,0.095,-0.00333,-0.01,0.00222
6163,-0.987,0.121,0.058,0.00222,-0.00667,0.00111,-0.993,-0.011,0.092,0.01,-0.00444,0.0
6263,-0.981,0.123,0.054,-0.01,-0.00556,0.0,-1.0,-0.018,0.09,-0.01333,-0.01,0.0
6366,-0.984,0.126,0.055,-0.00889,0.0,0.00111,-0.993,-0.015,0.095,0.01222,-0.00111,0.0
6461,-0.987,0.121,0.061,-0.00333,-0.00222,0.00222,-0.997,-0.011,0.099,-0.00556,-0.00556,0.0
6562,-0.983,0.12,0.059,-0.00667,0.00556,0.0,-0.994,-0.008,0.096,0.01222,0.00444,0.0
6663,-0.972,0.131,0.057,0.02333,-0.01111,-0.00222,-0.984,0.001,0.104,0.03889,-0.01111,-0.00222
6755,-0.982,0.128,0.06,0.02111,-0.01,-0.00222,-0.996,-0.003,0.09,0.00667,0.01,-0.00444
6859,-0.988,0.12,0.042,0.04333,0.00778,0.00111,-1.006,-0.023,0.092,0.05222,0.02889,-0.00222
6961,-0.986,0.103,0.072,-0.01333,0.0,0.00556,-0.993,-0.036,0.084,-0.01222,-0.00778,0.0
7063,-0.981,0.12,0.058,-0.09778,0.00778,0.01,-0.989,-0.029,0.099,-0.13889,-0.02556,0.01667
7167,-0.981,0.117,0.05,-0.16889,0.03667,0.02222,-0.998,-0.029,0.083,-0.19,-0.04556,0.03111
7265,-0.977,0.142,0.03,-0.16778,0.00556,0.00667,-0.992,0.012,0.098,-0.08778,-0.01444,0.02556
7364,-0.972,0.149,0.039,0.05,-0.04667,0.0,-0.992,0.024,0.117,0.02556,-0.02111,-0.00333
7462,-0.987,0.134,0.064,0.16667,-0.04333,0.0,-1.0,0.002,0.118,0.14778,-0.00667,-0.01333
7564,-0.979,0.132,0.083,0.16,-0.04222,-0.01333,-0.995,0.002,0.114,0.16778,0.03222,-0.01889
7662,-0.986,0.125,0.081,0.13889,-0.02889,-0.02,-0.995,-0.02,0.091,0.12556,0.00889,-0.01778
7759,-0.988,0.108,0.075,-0.02444,0.03667,-0.00111,-1.001,-0.04,0.075,-0.03111,0.01,-0.00667
7862,-0.985,0.125,0.056,-0.11,0.04222,0.00778,-0.995,-0.022,0.097,-0.11667,0.02222,-0.00222
7962,-0.981,0.13,0.044,-0.03556,0.02222,0.00778,-0.992,0.004,0.102,-0.03889,0.02111,0.0
8065,-0.983,0.125,0.059,0.01333,0.00333,0.0,-0.999,-0.015,0.087,-0.02222,0.00889,-0.00222
8166,-0.983,0.132,0.056,-0.02333,0.01,0.00111,-0.996,-0.013,0.091,-0.01222,0.01444,0.0
8264,-0.979,0.133,0.047,0.02222,0.0,0.0,-0.996,-0.004,0.093,0.00778,0.00444,-0.00222
8365,-0.985,0.121,0.051,0.03111,-0.00556,-0.00556,-0.994,-0.024,0.089,0.02222,-0.00333,-0.00222
8454,-0.986,0.127,0.048,-0.02556,-0.00333,0.0,-1.001,-0.015,0.089,-0.00333,-0.01333,0.00444
8563,-0.981,0.128,0.05,-0.01444,-0.00111,0.00222,-0.994,-0.005,0.093,0.0,-0.01,0.00111
8665,-0.982,0.123,0.055,0.0,-0.01111,0.0,-0.996,-0.012,0.093,0.00444,-0.00667,-0.00111
8763,-0.988,0.125,0.055,-0.00889,-0.00222,0.0,-0.995,-0.014,0.098,-0.00667,-0.00667,0.00444
8864,-0.984,0.127,0.059,-0.00333,-0.00111,0.0,-1.0,-0.011,0.094,0.0,-0.00222,0.0
8961,-0.984,0.13,0.053,0.00333,0.0,-0.00333,-0.998,-0.016,0.093,-0.00222,-0.00667,0.0
9065,-0.979,0.127,0.055,-0.01222,0.00222,0.00111,-0.985,-0.008,0.096,0.00778,-0.00333,0.0
9160,-0.978,0.13,0.066,-0.03111,-0.06,-0.01111,-0.983,0.0,0.11,-0.01222,-0.06889,0.0
9266,-1.005,0.119,0.095,-0.02111,-0.12222,-0.03222,-1.008,-0.019,0.134,0.01667,-0.11333,0.01444
9362,-1.0,0.162,0.103,-0.11889,0.03778,-0.03111,-0.998,0.03,0.138,-0.05667,-0.08778,-0.02222
9466,-0.957,0.141,0.141,-0.05,0.03111,-0.03889,-0.972,0.017,0.183,-0.01444,-0.08222,-0.05333
9568,-0.977,0.155,0.108,-0.02667,0.00778,-0.09222,-0.987,0.012,0.161,-0.12444,-0.17444,-0.05889
9665,-0.972,0.132,0.038,0.07556,0.22,-0.06,-0.974,-0.018,0.174,-0.12889,-0.14,-0.08333
9756,-0.997,0.144,0.005,0.04333,0.54222,0.08667,-0.977,-0.016,0.183,-0.35333,-0.20333,-0.08333
9863,-1.102,0.166,-0.13,0.37111,0.91889,0.15889,-0.977,-0.079,0.241,-0.02444,-0.14556,-0.03111
9965,-1.07,-0.025,-0.21,0.34556,1.47333,0.24667,-1.009,-0.114,0.196,-0.22,-0.17111,-0.02
10064,-0.891,0.082,-0.191,0.77889,0.66556,0.09889,-1.0,-0.124,0.182,0.41,-0.06333,-0.04444
10159,-0.793,0.11,-0.245,0.13111,-0.25556,0.07889,-0.983,-0.132,0.232,-0.08889,-0.09667,0.03889
10263,-0.826,-0.015,-0.3,-0.05222,-0.87556,-0.08444,-0.994,-0.064,0.194,0.01667,-0.20556,0.07889
10365,-0.971,0.172,-0.379,-0.29667,-0.67222,-0.14556,-0.977,-0.101,0.138,0.18222,-0.27667,0.11778
10466,-1.117,0.009,-0.306,-0.23444,-0.31222,-0.01222,-1.122,-0.168,0.156,0.26333,-0.33444,0.1
10567,-0.913,-0.004,-0.3,-0.16889,-0.10111,0.33444,-1.049,0.11,0.3,0.33,0.02222,0.00222
10665,-0.963,0.193,-0.102,0.26444,-0.45556,0.11556,-1.051,0.018,0.088,0.55889,0.46111,0.04
10764,-0.932,0.102,0.072,-0.05333,-0.67667,0.11222,-1.02,-0.007,0.018,0.08444,1.50333,-0.1
10867,-0.984,0.248,0.077,-0.47,-0.38667,0.08,-1.074,-0.052,0.207,-0.15,1.47222,-0.27222
10962,-0.977,0.194,0.086,-0.27667,-0.14,0.09556,-1.093,0.006,0.036,-0.86444,1.08667,-0.58333
11065,-0.947,0.163,0.139,-0.25444,-0.18111,0.01444,-0.91,0.089,0.022,-0.84111,0.69333,-0.16778
11164,-0.973,0.27,0.09,-0.03556,-0.4,-0.07778,-0.804,0.082,-0.14,0.23,0.07111,0.09333
11264,-0.987,0.254,0.026,-0.1,-0.21444,-0.02778,-0.93,-0.237,-0.322,0.09889,-0.61778,0.09
11364,-0.911,0.204,0.09,-0.40111,-0.13,-0.04,-0.909,0.057,-0.214,-0.08889,-0.6,-0.16333
11463,-1.05,0.298,0.106,-0.20889,0.14,0.17778,-1.168,-0.188,-0.297,-0.54444,-1.15111,-0.07778
11567,-1.082,0.197,0.124,-0.34556,0.5,0.11222,-0.99,-0.131,0.063,-0.45444,-0.53889,-0.03
11662,-1.117,0.009,-0.078,0.29,1.52,0.02111,-0.993,-0.092,0.196,-0.27333,-0.54667,-0.04
11765,-1.136,0.262,0.007,-0.21111,1.99222,-0.01,-1.041,-0.083,0.058,-0.27667,-0.31778,-0.06667
11868,-0.909,0.121,-0.133,1.13667,0.88444,0.28111,-0.971,-0.127,0.131,0.29778,-0.07556,-0.12889
11965,-0.744,0.073,-0.26,0.64,0.40222,0.23111,-0.992,-0.133,0.161,0.04,-0.20889,0.00889
12062,-0.774,0.049,-0.253,0.03333,-0.44889,-0.05444,-0.994,-0.083,0.142,0.03333,-0.29333,0.00667
12164,-0.924,0.228,-0.392,-0.20556,-0.82778,-0.31444,-0.982,-0.109,0.111,0.06889,-0.32333,0.01778
12261,-1.02,0.124,-0.486,-0.02333,-0.34444,-0.01667,-0.942,-0.15,0.11,0.35556,-0.41667,0.05667
12362,-0.978,0.125,-0.299,0.31556,-0.56,0.07444,-1.023,-0.145,0.172,0.79,-0.46778,0.02778
12461,-1.309,0.144,-0.325,1.75222,-0.62,0.08556,-1.137,-0.111,0.188,0.80444,0.08778,-0.01333
12568,-1.009,0.253,-0.061,0.06778,-0.67111,-0.05333,-1.041,0.004,-0.024,0.65889,1.00556,0.00222
12663,-0.952,0.069,0.134,0.14556,-0.77667,0.05889,-1.033,0.093,0.153,-0.32889,1.92,0.09556
