time_ms,left_accel_x,left_accel_y,left_accel_z,left_gyro_x,left_gyro_y,left_gyro_z,right_accel_x,right_accel_y,right_accel_z,right_gyro_x,right_gyro_y,right_gyro_z
5133,-9.08,0.04,-3.35,-3.625,5.9375,18.1875,-10.23,-0.42,2.08,9.9375,8.4375,0.5
5232,-9.85,2.0,-2.61,-46.6875,-24.125,6.4375,-10.04,1.5,2.21,12.1875,32.1875,-2.6875
5331,-9.94,2.57,-0.13,-23.8125,-43.5625,0.5,-10.44,-0.09,1.82,12.625,122.375,-8.4375
5429,-9.75,0.5,-0.25,-5.6875,-34.0,-6.0625,-10.8,0.72,2.37,-10.875,121.9375,-34.8125
5534,-9.3,1.65,0.4,-56.9375,-20.5625,1.875,-8.94,-1.03,1.0,-81.25,86.25,-35.75
5632,-9.64,1.01,-0.72,-38.75,-18.625,-0.875,-7.67,1.98,-1.95,-65.1875,22.6875,-21.4375
5730,-9.56,2.44,0.22,-40.375,-12.5,-2.5,-9.32,-1.11,-1.36,-8.125,3.4375,-7.0625
5828,-9.27,1.36,0.24,-14.6875,-18.9375,1.9375,-9.73,-0.12,-2.23,-17.625,-28.875,-3.25
5931,-9.31,1.75,0.33,-15.1875,-19.5,-1.0625,-9.52,-0.22,-2.59,-5.375,-15.375,0.3125
6031,-9.23,1.99,0.76,-19.25,-24.4375,-6.1875,-9.26,-0.06,-2.07,-2.5,-14.25,1.6875
6132,-9.44,1.95,1.58,-16.9375,-26.0,-0.5625,-10.68,-1.34,-1.52,-7.125,-47.6875,-5.625
6232,-10.79,1.93,0.28,-26.5,9.4375,1.75,-7.91,0.47,1.59,-33.75,-30.5,-5.3125
6336,-11.06,-1.03,-1.66,10.5625,117.0625,-13.75,-9.24,-1.78,0.49,29.0,-21.3125,-6.25
6437,-11.9,4.79,1.36,10.5625,118.8125,17.1875,-10.79,-1.67,0.02,-25.5,-35.125,-4.5
6538,-9.34,-1.01,-1.57,85.25,61.1875,26.625,-9.12,-0.87,1.28,44.375,-14.5625,-12.875
6637,-7.34,0.75,-1.47,61.5625,32.5625,22.5,-9.36,-1.32,1.99,-2.375,-28.875,0.9375
6736,-7.45,-0.07,-3.1,-8.4375,-9.375,1.4375,-9.93,-0.29,1.64,17.8125,-24.0625,3.5
6837,-7.91,2.19,-3.99,-8.4375,-44.25,-24.6875,-9.81,-1.07,1.18,8.8125,-25.5,-2.3125
6932,-10.09,0.79,-5.93,-33.1875,-14.375,8.9375,-9.58,-0.92,1.99,63.125,-2.25,-4.0625
7037,-8.94,-0.4,-0.52,-3.875,-59.1875,-2.375,-10.38,-1.47,1.4,42.75,-2.4375,-0.8125
7133,-8.05,-1.44,1.04,-80.75,-32.625,21.1875,-11.0,-0.22,0.49,-4.375,59.0,-7.0625
7235,-9.38,4.32,0.63,-29.875,-35.1875,-4.9375,-10.52,1.89,0.33,12.5625,142.0,24.375
