cuda:0 (1 GPUs)
Train Size: 46341, Vali Size: 5792, Test Size: 5794

=== DAPT seed=3431 | train=46341 vali=5792 | start=saved/bertx/limu_bert_x | lr=0.0005 epochs=3200 batch=1024 workers=8 ===
    mask_cfg(./config/mask.json): ratio=0.15 alpha=6 max_gram=10 prob=0.8 replace=0
Loading the model from saved/bertx/limu_bert_x
Epoch 92/3200 : Average Loss 0.0982. Test Loss 0.0994
Epoch 93/3200 : Average Loss 0.0984. Test Loss 0.1010
Epoch 94/3200 : Average Loss 0.0992. Test Loss 0.0989
Epoch 95/3200 : Average Loss 0.0998. Test Loss 0.0974
Epoch 96/3200 : Average Loss 0.0982. Test Loss 0.0991
Epoch 97/3200 : Average Loss 0.0988. Test Loss 0.0971
Epoch 98/3200 : Average Loss 0.0987. Test Loss 0.0978
Epoch 99/3200 : Average Loss 0.0979. Test Loss 0.0947
Epoch 100/3200 : Average Loss 0.0971. Test Loss 0.1003
Epoch 101/3200 : Average Loss 0.0976. Test Loss 0.0988
Epoch 102/3200 : Average Loss 0.0972. Test Loss 0.0974
Epoch 103/3200 : Average Loss 0.0978. Test Loss 0.0997
Epoch 104/3200 : Average Loss 0.0979. Test Loss 0.0978
Epoch 105/3200 : Average Loss 0.0958. Test Loss 0.0984
Epoch 106/3200 : Average Loss 0.0973. Test Loss 0.0988
Epoch 107/3200 : Average Loss 0.0967. Test Loss 0.0987
Epoch 108/3200 : Average Loss 0.0956. Test Loss 0.0980
Epoch 109/3200 : Average Loss 0.0970. Test Loss 0.0991
Epoch 110/3200 : Average Loss 0.0966. Test Loss 0.0961
Epoch 111/3200 : Average Loss 0.0960. Test Loss 0.0954
Epoch 112/3200 : Average Loss 0.0957. Test Loss 0.0982
Epoch 113/3200 : Average Loss 0.0965. Test Loss 0.0952
Epoch 114/3200 : Average Loss 0.0957. Test Loss 0.0957
Epoch 115/3200 : Average Loss 0.0947. Test Loss 0.0963
Epoch 116/3200 : Average Loss 0.0955. Test Loss 0.0973
Epoch 117/3200 : Average Loss 0.0944. Test Loss 0.0950
Epoch 118/3200 : Average Loss 0.0950. Test Loss 0.0948
Epoch 119/3200 : Average Loss 0.0959. Test Loss 0.0952
Epoch 120/3200 : Average Loss 0.0956. Test Loss 0.0966
Epoch 121/3200 : Average Loss 0.0939. Test Loss 0.0975
Epoch 122/3200 : Average Loss 0.0949. Test Loss 0.0939
Epoch 123/3200 : Average Loss 0.0943. Test Loss 0.0963
Epoch 124/3200 : Average Loss 0.0940. Test Loss 0.0954
Epoch 125/3200 : Average Loss 0.0936. Test Loss 0.0937
Epoch 126/3200 : Average Loss 0.0937. Test Loss 0.0964
Epoch 127/3200 : Average Loss 0.0925. Test Loss 0.0946
Epoch 128/3200 : Average Loss 0.0932. Test Loss 0.0945
Epoch 129/3200 : Average Loss 0.0935. Test Loss 0.0936
Epoch 130/3200 : Average Loss 0.0926. Test Loss 0.0923
Epoch 131/3200 : Average Loss 0.0918. Test Loss 0.0944
Epoch 132/3200 : Average Loss 0.0925. Test Loss 0.0950
Epoch 133/3200 : Average Loss 0.0923. Test Loss 0.0947
Epoch 134/3200 : Average Loss 0.0930. Test Loss 0.0944
Epoch 135/3200 : Average Loss 0.0925. Test Loss 0.0968
