((.venv) ) (main) root@C.41440580:/workspace/LIMU-BERT-Public$ python pretrain_dapt.py v3 merged 10_20_9cls \
      -f saved/bertx/limu_bert_x \
      --seeds 3431 --dapt_epochs 600 --dapt_lr 5e-4 -g 0 --out_name limu_bert_x_dapt_5e-4_ep600
cuda:0 (1 GPUs)
Train Size: 46341, Vali Size: 5792, Test Size: 5794

=== DAPT seed=3431 | train=46341 vali=5792 | start=saved/bertx/limu_bert_x | lr=0.0005 epochs=600 ===
    mask_cfg(./config/mask.json): ratio=0.15 alpha=6 max_gram=10 prob=0.8 replace=0
Loading the model from saved/bertx/limu_bert_x
Epoch 1/600 : Average Loss 0.2177. Test Loss 0.1893
Epoch 2/600 : Average Loss 0.1836. Test Loss 0.1746
Epoch 3/600 : Average Loss 0.1669. Test Loss 0.1622
Epoch 4/600 : Average Loss 0.1557. Test Loss 0.1544
Epoch 5/600 : Average Loss 0.1510. Test Loss 0.1568
Epoch 6/600 : Average Loss 0.1495. Test Loss 0.1515
Epoch 7/600 : Average Loss 0.1454. Test Loss 0.1433
Epoch 8/600 : Average Loss 0.1389. Test Loss 0.1447
Epoch 9/600 : Average Loss 0.1377. Test Loss 0.1386
Epoch 10/600 : Average Loss 0.1349. Test Loss 0.1389
Epoch 11/600 : Average Loss 0.1334. Test Loss 0.1379
Epoch 12/600 : Average Loss 0.1313. Test Loss 0.1380
Epoch 13/600 : Average Loss 0.1281. Test Loss 0.1312
Epoch 14/600 : Average Loss 0.1268. Test Loss 0.1357
Epoch 15/600 : Average Loss 0.1250. Test Loss 0.1336
Epoch 16/600 : Average Loss 0.1253. Test Loss 0.1278
Epoch 17/600 : Average Loss 0.1229. Test Loss 0.1284
Epoch 18/600 : Average Loss 0.1206. Test Loss 0.1261
Epoch 19/600 : Average Loss 0.1214. Test Loss 0.1214
Epoch 20/600 : Average Loss 0.1195. Test Loss 0.1186
Epoch 21/600 : Average Loss 0.1175. Test Loss 0.1201
Epoch 22/600 : Average Loss 0.1172. Test Loss 0.1267
Epoch 23/600 : Average Loss 0.1148. Test Loss 0.1166
Epoch 24/600 : Average Loss 0.1132. Test Loss 0.1144
Epoch 25/600 : Average Loss 0.1128. Test Loss 0.1141
Epoch 26/600 : Average Loss 0.1150. Test Loss 0.1159
Epoch 27/600 : Average Loss 0.1115. Test Loss 0.1112
Epoch 28/600 : Average Loss 0.1111. Test Loss 0.1134
Epoch 29/600 : Average Loss 0.1094. Test Loss 0.1186
Epoch 30/600 : Average Loss 0.1092. Test Loss 0.1100
Epoch 31/600 : Average Loss 0.1098. Test Loss 0.1138
Epoch 32/600 : Average Loss 0.1130. Test Loss 0.1129
Epoch 33/600 : Average Loss 0.1069. Test Loss 0.1117
Epoch 34/600 : Average Loss 0.1068. Test Loss 0.1139
Epoch 35/600 : Average Loss 0.1055. Test Loss 0.1064
Epoch 36/600 : Average Loss 0.1069. Test Loss 0.1075
Epoch 37/600 : Average Loss 0.1061. Test Loss 0.1071
Epoch 38/600 : Average Loss 0.1031. Test Loss 0.1091
Epoch 39/600 : Average Loss 0.1039. Test Loss 0.1039
Epoch 40/600 : Average Loss 0.1037. Test Loss 0.1016
Epoch 41/600 : Average Loss 0.1020. Test Loss 0.1013
Epoch 42/600 : Average Loss 0.1028. Test Loss 0.1021
Epoch 43/600 : Average Loss 0.1013. Test Loss 0.0995
Epoch 44/600 : Average Loss 0.1020. Test Loss 0.1008
Epoch 45/600 : Average Loss 0.1024. Test Loss 0.0993
Epoch 46/600 : Average Loss 0.1005. Test Loss 0.0996
Epoch 47/600 : Average Loss 0.0992. Test Loss 0.1002
Epoch 48/600 : Average Loss 0.0992. Test Loss 0.1037
Epoch 49/600 : Average Loss 0.1000. Test Loss 0.0999
Epoch 50/600 : Average Loss 0.1009. Test Loss 0.1031
Epoch 51/600 : Average Loss 0.0984. Test Loss 0.0993
Epoch 52/600 : Average Loss 0.0989. Test Loss 0.0982
Epoch 53/600 : Average Loss 0.0993. Test Loss 0.0988
Epoch 54/600 : Average Loss 0.0975. Test Loss 0.0963
Epoch 55/600 : Average Loss 0.0976. Test Loss 0.1009
Epoch 56/600 : Average Loss 0.0981. Test Loss 0.1003
Epoch 57/600 : Average Loss 0.0962. Test Loss 0.0979
Epoch 58/600 : Average Loss 0.0972. Test Loss 0.0972
Epoch 59/600 : Average Loss 0.0965. Test Loss 0.0958
Epoch 60/600 : Average Loss 0.0958. Test Loss 0.0997
Epoch 61/600 : Average Loss 0.0951. Test Loss 0.0961
Epoch 62/600 : Average Loss 0.0950. Test Loss 0.0938
Epoch 63/600 : Average Loss 0.0962. Test Loss 0.0976
Epoch 64/600 : Average Loss 0.0941. Test Loss 0.0982
Epoch 65/600 : Average Loss 0.0936. Test Loss 0.0948
Epoch 66/600 : Average Loss 0.0942. Test Loss 0.0960
Epoch 67/600 : Average Loss 0.0951. Test Loss 0.0942
Epoch 68/600 : Average Loss 0.0938. Test Loss 0.0937
Epoch 69/600 : Average Loss 0.0942. Test Loss 0.0977
Epoch 70/600 : Average Loss 0.0941. Test Loss 0.0942
Epoch 71/600 : Average Loss 0.0935. Test Loss 0.0926
Epoch 72/600 : Average Loss 0.0934. Test Loss 0.0939
Epoch 73/600 : Average Loss 0.0928. Test Loss 0.0926
Epoch 74/600 : Average Loss 0.0929. Test Loss 0.0960
Epoch 75/600 : Average Loss 0.0929. Test Loss 0.0955
Epoch 76/600 : Average Loss 0.0931. Test Loss 0.0947
Epoch 77/600 : Average Loss 0.0931. Test Loss 0.0905
Epoch 78/600 : Average Loss 0.0905. Test Loss 0.0940
Epoch 79/600 : Average Loss 0.0907. Test Loss 0.0921
Epoch 80/600 : Average Loss 0.0913. Test Loss 0.0896
Epoch 81/600 : Average Loss 0.0949. Test Loss 0.0938
Epoch 82/600 : Average Loss 0.0911. Test Loss 0.0916
Epoch 83/600 : Average Loss 0.0920. Test Loss 0.0933
Epoch 84/600 : Average Loss 0.0903. Test Loss 0.0934
Epoch 85/600 : Average Loss 0.0901. Test Loss 0.0915
Epoch 86/600 : Average Loss 0.0892. Test Loss 0.0907
Epoch 87/600 : Average Loss 0.0896. Test Loss 0.0894
Epoch 88/600 : Average Loss 0.0894. Test Loss 0.0910
Epoch 89/600 : Average Loss 0.0897. Test Loss 0.0904
Epoch 90/600 : Average Loss 0.0919. Test Loss 0.0943
Epoch 91/600 : Average Loss 0.0902. Test Loss 0.0918
Epoch 92/600 : Average Loss 0.0905. Test Loss 0.0936
Epoch 93/600 : Average Loss 0.0891. Test Loss 0.0895
Epoch 94/600 : Average Loss 0.0898. Test Loss 0.0911
Epoch 95/600 : Average Loss 0.0877. Test Loss 0.0903
Epoch 96/600 : Average Loss 0.0887. Test Loss 0.0910
Epoch 97/600 : Average Loss 0.0891. Test Loss 0.0956
Epoch 98/600 : Average Loss 0.0886. Test Loss 0.0901
Epoch 99/600 : Average Loss 0.0884. Test Loss 0.0896
Epoch 100/600 : Average Loss 0.0879. Test Loss 0.0878
Epoch 101/600 : Average Loss 0.0896. Test Loss 0.0874
Epoch 102/600 : Average Loss 0.0886. Test Loss 0.0884
Epoch 103/600 : Average Loss 0.0880. Test Loss 0.0906
Epoch 104/600 : Average Loss 0.0886. Test Loss 0.0885
Epoch 105/600 : Average Loss 0.0881. Test Loss 0.0878
Epoch 106/600 : Average Loss 0.0865. Test Loss 0.0884
Epoch 107/600 : Average Loss 0.0861. Test Loss 0.0877
Epoch 108/600 : Average Loss 0.0871. Test Loss 0.0885
Epoch 109/600 : Average Loss 0.0869. Test Loss 0.0897
Epoch 110/600 : Average Loss 0.0872. Test Loss 0.0894
Epoch 111/600 : Average Loss 0.0868. Test Loss 0.0866
Epoch 112/600 : Average Loss 0.0856. Test Loss 0.0865
Epoch 113/600 : Average Loss 0.0856. Test Loss 0.0865
Epoch 114/600 : Average Loss 0.0865. Test Loss 0.0873
Epoch 115/600 : Average Loss 0.0871. Test Loss 0.0888
Epoch 116/600 : Average Loss 0.0868. Test Loss 0.0868
Epoch 117/600 : Average Loss 0.0850. Test Loss 0.0910
Epoch 118/600 : Average Loss 0.0848. Test Loss 0.0869
Epoch 119/600 : Average Loss 0.0867. Test Loss 0.0893
Epoch 120/600 : Average Loss 0.0858. Test Loss 0.0858
Epoch 121/600 : Average Loss 0.0849. Test Loss 0.0838
Epoch 122/600 : Average Loss 0.0859. Test Loss 0.0848
Epoch 123/600 : Average Loss 0.0864. Test Loss 0.0879
Epoch 124/600 : Average Loss 0.0849. Test Loss 0.0844
Epoch 125/600 : Average Loss 0.0856. Test Loss 0.0873
Epoch 126/600 : Average Loss 0.0848. Test Loss 0.0856
Epoch 127/600 : Average Loss 0.0852. Test Loss 0.0928
Epoch 128/600 : Average Loss 0.0851. Test Loss 0.0899
Epoch 129/600 : Average Loss 0.0844. Test Loss 0.0886
Epoch 130/600 : Average Loss 0.0852. Test Loss 0.0860
Epoch 131/600 : Average Loss 0.0837. Test Loss 0.0851
Epoch 132/600 : Average Loss 0.0835. Test Loss 0.0879
Epoch 133/600 : Average Loss 0.0845. Test Loss 0.0861
Epoch 134/600 : Average Loss 0.0840. Test Loss 0.0867
Epoch 135/600 : Average Loss 0.0846. Test Loss 0.0848
Epoch 136/600 : Average Loss 0.0844. Test Loss 0.0871
Epoch 137/600 : Average Loss 0.0863. Test Loss 0.0861
Epoch 138/600 : Average Loss 0.0853. Test Loss 0.0853
Epoch 139/600 : Average Loss 0.0831. Test Loss 0.0842
Epoch 140/600 : Average Loss 0.0830. Test Loss 0.0865
Epoch 141/600 : Average Loss 0.0831. Test Loss 0.0843
Epoch 142/600 : Average Loss 0.0830. Test Loss 0.0839
Epoch 143/600 : Average Loss 0.0840. Test Loss 0.0867
Epoch 144/600 : Average Loss 0.0849. Test Loss 0.0903
Epoch 145/600 : Average Loss 0.0834. Test Loss 0.0848
Epoch 146/600 : Average Loss 0.0830. Test Loss 0.0848
Epoch 147/600 : Average Loss 0.0855. Test Loss 0.0868
Epoch 148/600 : Average Loss 0.0835. Test Loss 0.0838
Epoch 149/600 : Average Loss 0.0836. Test Loss 0.0829
Epoch 150/600 : Average Loss 0.0840. Test Loss 0.0857
Epoch 151/600 : Average Loss 0.0836. Test Loss 0.0916
Epoch 152/600 : Average Loss 0.0829. Test Loss 0.0849
