((.venv) ) (main) root@C.41440580:/workspace/LIMU-BERT-Public$ python pretrain_dapt.py v3 merged 10_20_9cls \
      -f saved/bertx/limu_bert_x \
      --seeds 3431 --dapt_epochs 600 --dapt_lr 1e-3 -g 0 --out_name limu_bert_x_dapt_1e-3_ep600
cuda:0 (1 GPUs)
Train Size: 46341, Vali Size: 5792, Test Size: 5794

=== DAPT seed=3431 | train=46341 vali=5792 | start=saved/bertx/limu_bert_x | lr=0.001 epochs=600 ===
    mask_cfg(./config/mask.json): ratio=0.15 alpha=6 max_gram=10 prob=0.8 replace=0
Loading the model from saved/bertx/limu_bert_x
Epoch 91/600 : Average Loss 0.0848. Test Loss 0.0856
Epoch 92/600 : Average Loss 0.0841. Test Loss 0.0925
Epoch 93/600 : Average Loss 0.0834. Test Loss 0.0835
Epoch 94/600 : Average Loss 0.0837. Test Loss 0.0857
Epoch 95/600 : Average Loss 0.0811. Test Loss 0.0839
Epoch 96/600 : Average Loss 0.0831. Test Loss 0.0860
Epoch 97/600 : Average Loss 0.0827. Test Loss 0.0865
Epoch 98/600 : Average Loss 0.0831. Test Loss 0.0845
Epoch 99/600 : Average Loss 0.0832. Test Loss 0.0847
Epoch 100/600 : Average Loss 0.0842. Test Loss 0.0841
Epoch 101/600 : Average Loss 0.0850. Test Loss 0.0826
Epoch 102/600 : Average Loss 0.0845. Test Loss 0.0850
Epoch 103/600 : Average Loss 0.0832. Test Loss 0.0851
Epoch 104/600 : Average Loss 0.0824. Test Loss 0.0837
Epoch 105/600 : Average Loss 0.0828. Test Loss 0.0820
Epoch 106/600 : Average Loss 0.0807. Test Loss 0.0838
Epoch 107/600 : Average Loss 0.0799. Test Loss 0.0833
Epoch 108/600 : Average Loss 0.0817. Test Loss 0.0876
Epoch 109/600 : Average Loss 0.0821. Test Loss 0.0848
Epoch 110/600 : Average Loss 0.0812. Test Loss 0.0843
Epoch 111/600 : Average Loss 0.0823. Test Loss 0.0825
Epoch 112/600 : Average Loss 0.0799. Test Loss 0.0819
Epoch 113/600 : Average Loss 0.0797. Test Loss 0.0834
Epoch 114/600 : Average Loss 0.0809. Test Loss 0.0827
Epoch 115/600 : Average Loss 0.0813. Test Loss 0.0823
Epoch 116/600 : Average Loss 0.0812. Test Loss 0.0810
Epoch 117/600 : Average Loss 0.0793. Test Loss 0.0886
Epoch 118/600 : Average Loss 0.0804. Test Loss 0.0836
Epoch 119/600 : Average Loss 0.0825. Test Loss 0.0829
Epoch 120/600 : Average Loss 0.0871. Test Loss 0.0843
Epoch 121/600 : Average Loss 0.0801. Test Loss 0.0795
Epoch 122/600 : Average Loss 0.0797. Test Loss 0.0784
Epoch 123/600 : Average Loss 0.0821. Test Loss 0.0867
Epoch 124/600 : Average Loss 0.0815. Test Loss 0.0816
Epoch 125/600 : Average Loss 0.0802. Test Loss 0.0882
Epoch 126/600 : Average Loss 0.0800. Test Loss 0.0813
Epoch 127/600 : Average Loss 0.0802. Test Loss 0.0882
Epoch 128/600 : Average Loss 0.0802. Test Loss 0.0863
Epoch 129/600 : Average Loss 0.0789. Test Loss 0.0814
Epoch 130/600 : Average Loss 0.0802. Test Loss 0.0824
Epoch 131/600 : Average Loss 0.0784. Test Loss 0.0797
Epoch 132/600 : Average Loss 0.0779. Test Loss 0.0832
Epoch 133/600 : Average Loss 0.0797. Test Loss 0.0837
Epoch 134/600 : Average Loss 0.0790. Test Loss 0.0830
Epoch 135/600 : Average Loss 0.0796. Test Loss 0.0782
Epoch 136/600 : Average Loss 0.0791. Test Loss 0.0863
Epoch 137/600 : Average Loss 0.0800. Test Loss 0.0816
Epoch 138/600 : Average Loss 0.0830. Test Loss 0.0818
Epoch 139/600 : Average Loss 0.0792. Test Loss 0.0803
Epoch 140/600 : Average Loss 0.0792. Test Loss 0.0811
Epoch 141/600 : Average Loss 0.0789. Test Loss 0.0784
Epoch 142/600 : Average Loss 0.0780. Test Loss 0.0779
Epoch 143/600 : Average Loss 0.0782. Test Loss 0.0827
Epoch 144/600 : Average Loss 0.0789. Test Loss 0.0864
Epoch 145/600 : Average Loss 0.0845. Test Loss 0.0829
Epoch 146/600 : Average Loss 0.0796. Test Loss 0.0878
Epoch 147/600 : Average Loss 0.0846. Test Loss 0.0846
Epoch 148/600 : Average Loss 0.0797. Test Loss 0.0782
Epoch 149/600 : Average Loss 0.0786. Test Loss 0.0784
Epoch 150/600 : Average Loss 0.0791. Test Loss 0.0798
Epoch 151/600 : Average Loss 0.0780. Test Loss 0.0841
Epoch 152/600 : Average Loss 0.0781. Test Loss 0.0812
Epoch 153/600 : Average Loss 0.0783. Test Loss 0.0812
Epoch 154/600 : Average Loss 0.0789. Test Loss 0.0814
Epoch 155/600 : Average Loss 0.0787. Test Loss 0.0793
Epoch 156/600 : Average Loss 0.0775. Test Loss 0.0839
Epoch 157/600 : Average Loss 0.0788. Test Loss 0.0852
Epoch 158/600 : Average Loss 0.0782. Test Loss 0.0822
Epoch 159/600 : Average Loss 0.0777. Test Loss 0.0772
Epoch 160/600 : Average Loss 0.0767. Test Loss 0.0827
Epoch 161/600 : Average Loss 0.0776. Test Loss 0.0773
Epoch 162/600 : Average Loss 0.0786. Test Loss 0.0818
Epoch 163/600 : Average Loss 0.0785. Test Loss 0.0812
Epoch 164/600 : Average Loss 0.0795. Test Loss 0.0817
Epoch 165/600 : Average Loss 0.0757. Test Loss 0.0837
Epoch 166/600 : Average Loss 0.0766. Test Loss 0.0783
Epoch 167/600 : Average Loss 0.0764. Test Loss 0.0795
Epoch 168/600 : Average Loss 0.0761. Test Loss 0.0780
Epoch 169/600 : Average Loss 0.0777. Test Loss 0.0820
Epoch 170/600 : Average Loss 0.0782. Test Loss 0.0787
Epoch 171/600 : Average Loss 0.0767. Test Loss 0.0785
Epoch 172/600 : Average Loss 0.0761. Test Loss 0.0782
Epoch 173/600 : Average Loss 0.0749. Test Loss 0.0755
Epoch 174/600 : Average Loss 0.0754. Test Loss 0.0749
Epoch 175/600 : Average Loss 0.0750. Test Loss 0.0770
Epoch 176/600 : Average Loss 0.0791. Test Loss 0.0806
Epoch 177/600 : Average Loss 0.0778. Test Loss 0.0817
Epoch 178/600 : Average Loss 0.0753. Test Loss 0.0784
Epoch 179/600 : Average Loss 0.0757. Test Loss 0.0777
Epoch 180/600 : Average Loss 0.0752. Test Loss 0.0777
Epoch 181/600 : Average Loss 0.0756. Test Loss 0.0782
Epoch 182/600 : Average Loss 0.0753. Test Loss 0.0840
Epoch 183/600 : Average Loss 0.0763. Test Loss 0.0831
Epoch 184/600 : Average Loss 0.0788. Test Loss 0.0750
Epoch 185/600 : Average Loss 0.0750. Test Loss 0.0778
Epoch 186/600 : Average Loss 0.0753. Test Loss 0.0775
Epoch 187/600 : Average Loss 0.0760. Test Loss 0.0766
Epoch 188/600 : Average Loss 0.0781. Test Loss 0.0866
Epoch 189/600 : Average Loss 0.0766. Test Loss 0.0755
Epoch 190/600 : Average Loss 0.0750. Test Loss 0.0794
Epoch 191/600 : Average Loss 0.0741. Test Loss 0.0770
Epoch 192/600 : Average Loss 0.0753. Test Loss 0.0758
Epoch 193/600 : Average Loss 0.0760. Test Loss 0.0768
Epoch 194/600 : Average Loss 0.0748. Test Loss 0.0811
Epoch 195/600 : Average Loss 0.0750. Test Loss 0.0762
Epoch 196/600 : Average Loss 0.0754. Test Loss 0.0745
Epoch 197/600 : Average Loss 0.0753. Test Loss 0.0776
Epoch 198/600 : Average Loss 0.0755. Test Loss 0.0798
Epoch 199/600 : Average Loss 0.0741. Test Loss 0.0769
Epoch 200/600 : Average Loss 0.0743. Test Loss 0.0762
Epoch 201/600 : Average Loss 0.0738. Test Loss 0.0771
Epoch 202/600 : Average Loss 0.0772. Test Loss 0.0805
Epoch 203/600 : Average Loss 0.0775. Test Loss 0.0762
Epoch 204/600 : Average Loss 0.0741. Test Loss 0.0810
Epoch 205/600 : Average Loss 0.0746. Test Loss 0.0754
Epoch 206/600 : Average Loss 0.0763. Test Loss 0.0777
Epoch 207/600 : Average Loss 0.0753. Test Loss 0.0774
Epoch 208/600 : Average Loss 0.0737. Test Loss 0.0767
Epoch 209/600 : Average Loss 0.0824. Test Loss 0.0940
Epoch 210/600 : Average Loss 0.0784. Test Loss 0.0771
Epoch 211/600 : Average Loss 0.0742. Test Loss 0.0767
Epoch 212/600 : Average Loss 0.0728. Test Loss 0.0769
Epoch 213/600 : Average Loss 0.0734. Test Loss 0.0753
Epoch 214/600 : Average Loss 0.0743. Test Loss 0.0743
Epoch 215/600 : Average Loss 0.0730. Test Loss 0.0769
Epoch 216/600 : Average Loss 0.0745. Test Loss 0.0762
Epoch 217/600 : Average Loss 0.0738. Test Loss 0.0759
Epoch 218/600 : Average Loss 0.0748. Test Loss 0.0757
Epoch 219/600 : Average Loss 0.0742. Test Loss 0.0798
Epoch 220/600 : Average Loss 0.0745. Test Loss 0.0766
Epoch 221/600 : Average Loss 0.0730. Test Loss 0.0759
Epoch 222/600 : Average Loss 0.0746. Test Loss 0.0764
Epoch 223/600 : Average Loss 0.0732. Test Loss 0.0751
Epoch 224/600 : Average Loss 0.0740. Test Loss 0.0777
Epoch 225/600 : Average Loss 0.0750. Test Loss 0.0786
Epoch 226/600 : Average Loss 0.0753. Test Loss 0.0759
Epoch 227/600 : Average Loss 0.0728. Test Loss 0.0766
Epoch 228/600 : Average Loss 0.0737. Test Loss 0.0760
Epoch 229/600 : Average Loss 0.0734. Test Loss 0.0795
Epoch 230/600 : Average Loss 0.0732. Test Loss 0.0751
Epoch 231/600 : Average Loss 0.0726. Test Loss 0.0751
Epoch 232/600 : Average Loss 0.0767. Test Loss 0.0765
Epoch 233/600 : Average Loss 0.0739. Test Loss 0.0762
Epoch 234/600 : Average Loss 0.0748. Test Loss 0.0769
Epoch 235/600 : Average Loss 0.0730. Test Loss 0.0747
Epoch 236/600 : Average Loss 0.0731. Test Loss 0.0745
Epoch 237/600 : Average Loss 0.0731. Test Loss 0.0749
Epoch 238/600 : Average Loss 0.0729. Test Loss 0.0746
Epoch 239/600 : Average Loss 0.0731. Test Loss 0.0772
Epoch 240/600 : Average Loss 0.0728. Test Loss 0.0765
Epoch 241/600 : Average Loss 0.0725. Test Loss 0.0792
Epoch 242/600 : Average Loss 0.0726. Test Loss 0.0764
Epoch 243/600 : Average Loss 0.0729. Test Loss 0.0751
Epoch 244/600 : Average Loss 0.0728. Test Loss 0.0774
Epoch 245/600 : Average Loss 0.0734. Test Loss 0.0762
Epoch 246/600 : Average Loss 0.0732. Test Loss 0.0756
Epoch 247/600 : Average Loss 0.0766. Test Loss 0.0759
Epoch 248/600 : Average Loss 0.0733. Test Loss 0.0750
Epoch 249/600 : Average Loss 0.0736. Test Loss 0.0763
Epoch 250/600 : Average Loss 0.0727. Test Loss 0.0789
Epoch 251/600 : Average Loss 0.0745. Test Loss 0.0760
Epoch 252/600 : Average Loss 0.0724. Test Loss 0.0732
Epoch 253/600 : Average Loss 0.0715. Test Loss 0.0771
Epoch 254/600 : Average Loss 0.0729. Test Loss 0.0735
Epoch 255/600 : Average Loss 0.0729. Test Loss 0.0747
Epoch 256/600 : Average Loss 0.0731. Test Loss 0.0868
Epoch 257/600 : Average Loss 0.0745. Test Loss 0.0789
Epoch 258/600 : Average Loss 0.0728. Test Loss 0.0728
Epoch 259/600 : Average Loss 0.0722. Test Loss 0.0750
Epoch 260/600 : Average Loss 0.0743. Test Loss 0.0742
Epoch 261/600 : Average Loss 0.0720. Test Loss 0.0763
Epoch 262/600 : Average Loss 0.0749. Test Loss 0.0738
Epoch 263/600 : Average Loss 0.0716. Test Loss 0.0760
Epoch 264/600 : Average Loss 0.0715. Test Loss 0.0763
Epoch 265/600 : Average Loss 0.0732. Test Loss 0.0753
Epoch 266/600 : Average Loss 0.0724. Test Loss 0.0732
Epoch 267/600 : Average Loss 0.0716. Test Loss 0.0736
Epoch 268/600 : Average Loss 0.0722. Test Loss 0.0742
Epoch 269/600 : Average Loss 0.0723. Test Loss 0.0786
Epoch 270/600 : Average Loss 0.0720. Test Loss 0.0770
Epoch 271/600 : Average Loss 0.0732. Test Loss 0.0720
Epoch 272/600 : Average Loss 0.0706. Test Loss 0.0735
Epoch 273/600 : Average Loss 0.0732. Test Loss 0.0773
Epoch 274/600 : Average Loss 0.0718. Test Loss 0.0772
Epoch 275/600 : Average Loss 0.0737. Test Loss 0.0798
Epoch 276/600 : Average Loss 0.0715. Test Loss 0.0782
Epoch 277/600 : Average Loss 0.0723. Test Loss 0.0795
Epoch 278/600 : Average Loss 0.0708. Test Loss 0.0784
Epoch 279/600 : Average Loss 0.0756. Test Loss 0.0737
Epoch 280/600 : Average Loss 0.0733. Test Loss 0.0765
Epoch 281/600 : Average Loss 0.0713. Test Loss 0.0763
Epoch 282/600 : Average Loss 0.0710. Test Loss 0.0738
Epoch 283/600 : Average Loss 0.0727. Test Loss 0.0749
Epoch 284/600 : Average Loss 0.0716. Test Loss 0.0787
Epoch 285/600 : Average Loss 0.0715. Test Loss 0.0726
Epoch 286/600 : Average Loss 0.0713. Test Loss 0.0738
Epoch 287/600 : Average Loss 0.0720. Test Loss 0.0727
Epoch 288/600 : Average Loss 0.0708. Test Loss 0.0750
