((.venv) ) (main) root@C.41162191:/workspace/LIMU-BERT-Public$ python pretrain_dapt.py v3 merged 10_20_merged_9cls     -f saved/bertx/limu_bert_x     --seeds 3431 --dapt_ -- 0
 --ddaapdapt_lr 1e-4 -g 0
cuda:0 (1 GPUs)
Train Size: 46341, Vali Size: 5792, Test Size: 5794

=== DAPT seed=3431 | train=46341 vali=5792 | start=saved/bertx/limu_bert_x | lr=0.0001 epochs=600 ===
    mask_cfg(./config/mask.json): ratio=0.15 alpha=6 max_gram=10 prob=0.8 replace=0
Loading the model from saved/bertx/limu_bert_x
Epoch 91/600 : Average Loss 0.1130. Test Loss 0.1136
Epoch 92/600 : Average Loss 0.1132. Test Loss 0.1145
Epoch 93/600 : Average Loss 0.1117. Test Loss 0.1098
Epoch 94/600 : Average Loss 0.1129. Test Loss 0.1140
Epoch 95/600 : Average Loss 0.1100. Test Loss 0.1107
Epoch 96/600 : Average Loss 0.1118. Test Loss 0.1132
Epoch 97/600 : Average Loss 0.1121. Test Loss 0.1141
Epoch 98/600 : Average Loss 0.1109. Test Loss 0.1125
Epoch 99/600 : Average Loss 0.1109. Test Loss 0.1119
Epoch 100/600 : Average Loss 0.1106. Test Loss 0.1114
Epoch 101/600 : Average Loss 0.1119. Test Loss 0.1073
Epoch 102/600 : Average Loss 0.1100. Test Loss 0.1092
Epoch 103/600 : Average Loss 0.1104. Test Loss 0.1114
Epoch 104/600 : Average Loss 0.1116. Test Loss 0.1100
Epoch 105/600 : Average Loss 0.1100. Test Loss 0.1095
Epoch 106/600 : Average Loss 0.1094. Test Loss 0.1113
Epoch 107/600 : Average Loss 0.1085. Test Loss 0.1109
Epoch 108/600 : Average Loss 0.1097. Test Loss 0.1102
Epoch 109/600 : Average Loss 0.1088. Test Loss 0.1104
Epoch 110/600 : Average Loss 0.1092. Test Loss 0.1103
Epoch 111/600 : Average Loss 0.1089. Test Loss 0.1086
Epoch 112/600 : Average Loss 0.1072. Test Loss 0.1075
Epoch 113/600 : Average Loss 0.1074. Test Loss 0.1070
Epoch 114/600 : Average Loss 0.1093. Test Loss 0.1086
Epoch 115/600 : Average Loss 0.1086. Test Loss 0.1091
Epoch 116/600 : Average Loss 0.1075. Test Loss 0.1074
Epoch 117/600 : Average Loss 0.1071. Test Loss 0.1120
Epoch 118/600 : Average Loss 0.1065. Test Loss 0.1057
Epoch 119/600 : Average Loss 0.1084. Test Loss 0.1100
Epoch 120/600 : Average Loss 0.1065. Test Loss 0.1067
Epoch 121/600 : Average Loss 0.1058. Test Loss 0.1055
Epoch 122/600 : Average Loss 0.1071. Test Loss 0.1050
Epoch 123/600 : Average Loss 0.1080. Test Loss 0.1084
Epoch 124/600 : Average Loss 0.1068. Test Loss 0.1064
Epoch 125/600 : Average Loss 0.1075. Test Loss 0.1066
Epoch 126/600 : Average Loss 0.1061. Test Loss 0.1053
Epoch 127/600 : Average Loss 0.1067. Test Loss 0.1082
Epoch 128/600 : Average Loss 0.1058. Test Loss 0.1096
Epoch 129/600 : Average Loss 0.1049. Test Loss 0.1094
Epoch 130/600 : Average Loss 0.1057. Test Loss 0.1050
Epoch 131/600 : Average Loss 0.1049. Test Loss 0.1044
Epoch 132/600 : Average Loss 0.1043. Test Loss 0.1058
Epoch 133/600 : Average Loss 0.1056. Test Loss 0.1057
Epoch 134/600 : Average Loss 0.1048. Test Loss 0.1063
