thigh_Accel_X,thigh_Accel_Y,thigh_Accel_Z,thigh_Gyro_X,thigh_Gyro_Y,thigh_Gyro_Z,label_header,label_id
-9.944786262379402553e-01,-6.314762134998296028e-02,3.891624123594748103e-02,8.877965851169440301e-03,9.236646220802925689e-02,3.651627450526929303e-02,1.201200000000000045e+01,8.000000000000000000e+00
-9.972473819649637639e-01,-5.708823726565831480e-02,3.115758481306427075e-02,-3.266752686426114410e-02,9.140257006341515056e-02,3.965062459503065212e-02,1.206300000000000061e+01,8.000000000000000000e+00
-9.935387304281786403e-01,-6.571544191991782191e-02,3.873605857506476347e-02,-4.291728238682986085e-02,7.828012428964983838e-02,2.230106816742071993e-02,1.211299999999999955e+01,8.000000000000000000e+00
-9.941809218180994723e-01,-5.400451958345316161e-02,3.703899449094444352e-02,9.948835202249766037e-04,7.307179701664900939e-02,1.948757231967785525e-02,1.216200000000000081e+01,8.000000000000000000e+00
-9.871058928411160505e-01,-6.999572316183390319e-02,3.619215442301498137e-02,4.106151429837846811e-02,7.189884624700255966e-02,-8.438262875696695905e-03,1.221299999999999919e+01,8.000000000000000000e+00
-9.938753809764427904e-01,-4.186160295908565587e-02,3.316801033621445682e-02,8.677980607324739526e-02,7.388267376022919497e-02,-1.932107708241605215e-02,1.226200000000000045e+01,8.000000000000000000e+00
-1.000403250017475765e+00,-3.316082440595348457e-02,2.377962788287821955e-02,-9.888138121026738420e-03,9.593198544114187043e-02,2.876112421331657523e-02,1.231300000000000061e+01,8.000000000000000000e+00
-9.707029457460972788e-01,-8.956663731889596969e-02,-3.304531111604309956e-02,-9.156238706641658953e-02,1.160420711751157796e-01,-4.870039083908243860e-02,1.236299999999999955e+01,8.000000000000000000e+00
-9.996374992421221961e-01,-6.156933655021103874e-02,8.155269681715206220e-02,-2.156124880908942831e-01,2.508266119905849800e-01,5.504954522455748206e-03,1.241200000000000081e+01,8.000000000000000000e+00
-1.007040594536084077e+00,-4.210826186180924996e-02,1.538494223802145400e-01,1.215884545851330933e-01,2.349726903411943069e-01,7.778142123490881799e-02,1.246299999999999919e+01,8.000000000000000000e+00
-9.983773010718952623e-01,-9.880494611011748224e-03,6.052125250529344358e-02,4.439543642194071493e-01,2.372068979882360762e-01,1.763756697715083699e-01,1.251200000000000045e+01,8.000000000000000000e+00
-1.041753355136423975e+00,1.447049824079805203e-01,1.290207876295660638e-01,2.313063666802644414e-01,2.090334009859299014e-01,4.126729702488605156e-01,1.256300000000000061e+01,8.000000000000000000e+00
-1.109745015089660836e+00,2.081455968075533181e-01,1.812626144033326336e-01,3.835131818995368702e-01,-4.413765762387186764e-02,1.152785982218009320e+00,1.261299999999999955e+01,8.000000000000000000e+00
-1.378005207245689201e+00,4.184044426475056477e-01,3.305060167359981371e-02,9.723042765124905173e-01,-1.409259807434873890e-01,2.189103900681675263e+00,1.266200000000000081e+01,8.000000000000000000e+00
-1.242330830479445369e+00,2.075246676284491776e-01,-6.736792406060229665e-02,1.039296094245837576e+00,-1.426600628965974948e-01,2.128785542187948465e+00,1.271299999999999919e+01,8.000000000000000000e+00
-9.675245366426062921e-01,-7.230654614484385845e-02,-5.308750205176056280e-02,9.270227218705870964e-01,-2.767218808077670511e-01,1.576053304987920178e+00,1.276200000000000045e+01,8.000000000000000000e+00
