time_ms;left_accel_x;left_accel_y;left_accel_z;left_gyro_x;left_gyro_y;left_gyro_z;right_accel_x;right_accel_y;right_accel_z;right_gyro_x;right_gyro_y;right_gyro_z
13629;1.49;-9.45;1.9;-0.375;0.25;-0.312;-0.01;-9.63;2.01;-0.812;1.875;-0.125
13679;1.59;-9.46;1.96;0.187;-0.562;-0.125;0.0;-9.62;1.9;0.062;-0.312;-0.25
13730;1.45;-9.44;1.93;0.375;-0.125;0.562;0.04;-9.63;1.99;-0.375;0.187;-0.125
13779;1.55;-9.43;1.99;0.25;-0.562;0.5;0.14;-9.58;1.91;0.625;-1.312;0.125
13829;1.68;-9.49;1.83;0.062;-0.687;-0.062;0.03;-9.68;1.99;-0.437;0.0;-0.062
13879;1.6;-9.44;1.88;0.0;0.312;0.187;0.11;-9.6;1.89;-0.062;-0.5;0.25
13930;1.62;-9.46;1.88;0.0;0.312;0.062;0.14;-9.64;1.92;0.312;0.375;-0.25
13979;1.65;-9.45;1.88;-0.375;0.812;0.0;0.0;-9.63;1.93;0.0;1.062;0.0
14028;1.59;-9.45;1.89;-0.125;0.75;0.187;0.11;-9.63;1.89;-0.125;0.562;-0.187
14079;1.59;-9.44;1.87;-0.437;0.437;0.0;0.02;-9.62;1.91;0.062;0.437;0.187
14130;1.69;-9.43;1.84;-0.25;0.687;0.312;0.03;-9.66;1.91;0.187;-0.5;-0.062
14179;1.6;-9.43;1.85;-0.375;1.25;-0.125;0.19;-9.61;1.93;0.812;-0.562;-0.125
14229;1.7;-9.44;1.9;-0.437;1.812;0.062;0.13;-9.55;1.99;0.25;3.313;-0.5
14279;1.58;-9.46;1.92;-1.0;3.438;-0.187;-0.01;-9.71;1.78;-0.312;1.937;0.187
14330;1.57;-9.43;1.95;-0.625;1.0;0.0;0.0;-9.61;1.81;0.187;1.312;-0.25
14379;1.55;-9.43;1.96;0.0;-0.75;0.375;0.1;-9.62;1.85;-0.375;-0.5;0.25
14428;1.64;-9.43;1.95;-0.125;-3.688;0.625;0.12;-9.52;1.99;-0.625;-1.125;0.687
14480;1.54;-9.41;1.99;-0.125;-2.563;0.437;-0.04;-9.64;1.95;-1.937;-3.688;1.062
