cuda:0 (1 GPUs)
Train Size: 1188, Vali Size: 132, Test Size: 0

=== DAPT seed=3431 | train=1188 vali=132 | start=saved/pretrain_base_merged_10_20_9cls_align/limu_bert_x_align_dapt_5e-4_3200_seed3431 | lr=5e-05 epochs=1500 batch=128 workers=0 ===
    mask_cfg(./config/mask.json): ratio=0.15 alpha=6 max_gram=10 prob=0.8 replace=0
Loading the model from saved/pretrain_base_merged_10_20_9cls_align/limu_bert_x_align_dapt_5e-4_3200_seed3431
Epoch 90/1500 : Average Loss 0.0638. Test Loss 0.0728
Epoch 91/1500 : Average Loss 0.0590. Test Loss 0.0492
Epoch 92/1500 : Average Loss 0.0649. Test Loss 0.0494
Epoch 93/1500 : Average Loss 0.0587. Test Loss 0.0443
Epoch 94/1500 : Average Loss 0.0605. Test Loss 0.0566
Epoch 95/1500 : Average Loss 0.0569. Test Loss 0.0565
Epoch 96/1500 : Average Loss 0.0592. Test Loss 0.0584
Epoch 97/1500 : Average Loss 0.0625. Test Loss 0.0509
Epoch 98/1500 : Average Loss 0.0633. Test Loss 0.0603
Epoch 99/1500 : Average Loss 0.0580. Test Loss 0.0587
Epoch 100/1500 : Average Loss 0.0613. Test Loss 0.0555
Epoch 101/1500 : Average Loss 0.0594. Test Loss 0.0564
Epoch 102/1500 : Average Loss 0.0642. Test Loss 0.0465
Epoch 103/1500 : Average Loss 0.0633. Test Loss 0.0626
Epoch 104/1500 : Average Loss 0.0592. Test Loss 0.0612
Epoch 105/1500 : Average Loss 0.0595. Test Loss 0.0599
Epoch 106/1500 : Average Loss 0.0625. Test Loss 0.0548
Epoch 107/1500 : Average Loss 0.0600. Test Loss 0.0599
Epoch 108/1500 : Average Loss 0.0565. Test Loss 0.0533
Epoch 109/1500 : Average Loss 0.0606. Test Loss 0.0622
Epoch 110/1500 : Average Loss 0.0612. Test Loss 0.0568
Epoch 111/1500 : Average Loss 0.0600. Test Loss 0.0534
Epoch 112/1500 : Average Loss 0.0567. Test Loss 0.0500
Epoch 113/1500 : Average Loss 0.0622. Test Loss 0.0526
Epoch 114/1500 : Average Loss 0.0603. Test Loss 0.0596
Epoch 115/1500 : Average Loss 0.0625. Test Loss 0.0556
Epoch 116/1500 : Average Loss 0.0620. Test Loss 0.0686
Epoch 117/1500 : Average Loss 0.0593. Test Loss 0.0522
Epoch 118/1500 : Average Loss 0.0585. Test Loss 0.0580
Epoch 119/1500 : Average Loss 0.0565. Test Loss 0.0472
Epoch 120/1500 : Average Loss 0.0575. Test Loss 0.0526
Epoch 121/1500 : Average Loss 0.0617. Test Loss 0.0564
Epoch 122/1500 : Average Loss 0.0600. Test Loss 0.0520
