Header,foot_Accel_X,foot_Accel_Y,foot_Accel_Z,foot_Gyro_X,foot_Gyro_Y,foot_Gyro_Z,shank_Accel_X,shank_Accel_Y,shank_Accel_Z,shank_Gyro_X,shank_Gyro_Y,shank_Gyro_Z,thigh_Accel_X,thigh_Accel_Y,thigh_Accel_Z,thigh_Gyro_X,thigh_Gyro_Y,thigh_Gyro_Z,trunk_Accel_X,trunk_Accel_Y,trunk_Accel_Z,trunk_Gyro_X,trunk_Gyro_Y,trunk_Gyro_Z,Label
8.13,-0.428159661923178,0.227989109983053,0.875291555790544,0.113614996699777,-0.216023439587491,0.149680768441472,-0.955782501725238,-0.0260815561702067,-0.246782779464183,-0.359189543194532,-0.0064467290990788,0.0822063461902738,-0.960733922989054,-0.215065054042091,-0.0341977085613381,-0.123080334283489,-0.116001347517022,-0.229785528528648,-0.991863840828067,-0.147933683840039,0.212178464988915,0.301887126187603,0.0720271301329224,0.0566050087164576,idle
8.135,-0.431594237142368,0.232128911014656,0.871321973160848,0.0944562347028897,-0.226847212563468,0.172115220670219,-0.958438015776832,-0.0255699567408901,-0.244121272953495,-0.426222497825342,-0.0130415745079517,0.0814735814929008,-0.957663937812742,-0.222423376076519,-0.0402385993160741,-0.0613409302109781,-0.112186862891078,-0.244191658013185,-0.996937716496303,-0.142147752841714,0.210426059085738,0.311013384675366,0.0698193909560031,0.0550556262673133,idle
8.14,-0.427131361010819,0.237735686514692,0.858823622360968,0.0618957855930593,-0.241742037532144,0.194101758124476,-0.962621112047054,-0.0207254195442369,-0.25074805709098,-0.502513001653183,-0.0108414015204817,0.0847738451671959,-0.956586925865882,-0.227569615303038,-0.0435749765647712,-0.0051171044067752,-0.107626512677085,-0.249205999045956,-1.00661568144329,-0.134905061419493,0.204294013888203,0.320603892804893,0.0567221276404432,0.0538733667348058,idle
8.145,-0.421618098526944,0.241854697616127,0.852139280283137,-0.0066187156016888,-0.245168798122503,0.214958173683517,-0.961074695520796,-0.0172170668695693,-0.259999129750539,-0.533428783646875,-0.0147950319271286,0.0868921282490672,-0.961612165026862,-0.231732702521589,-0.0464539295234277,0.0322455052211671,-0.101669646039563,-0.252579847677878,-1.01167969747637,-0.125894157324352,0.201141957177411,0.333857369467796,0.0494841700867318,0.0541039327792366,idle
8.15,-0.445528864972999,0.243713923612575,0.863957265053155,-0.048889137064329,-0.262955817166728,0.2195642552628,-0.96173713313471,-0.009277686211405,-0.279098597375474,-0.574882089052571,-0.017448905156906,0.0943404675332754,-0.967436191193355,-0.234633069731963,-0.0510385058928284,0.0357827323221783,-0.107808771938241,-0.253910511395187,-1.01441305696448,-0.123869537910492,0.200067943652955,0.344026949184265,0.0304302697433062,0.0593059981358274,idle
8.155,-0.461104923620123,0.242558331995029,0.855560786220087,-0.0800465532855079,-0.274917368469398,0.205165962562332,-0.966039093248268,0.003523573058285,-0.293350540022602,-0.609580474963356,-0.0167066566646099,0.104148258785584,-0.972377186468543,-0.229724212000864,-0.0565328942410106,0.0395703182988532,-0.114638641817661,-0.24708065076594,-1.02050501733581,-0.117099465228584,0.193283236861338,0.361920553232565,0.020602439452532,0.0578964703910589,idle
8.16,-0.469581829238827,0.262898447860678,0.846287770301533,-0.115244389555835,-0.281493179886034,0.179288431798417,-0.977763878296903,0.029085114356457,-0.304565849012035,-0.620136436643707,-0.0244044326957299,0.120203347689564,-0.982867765967161,-0.222486748419448,-0.062322339063197,0.0437179159399167,-0.115856791760162,-0.246939085689065,-1.02065325167903,-0.108803244745862,0.186050650440392,0.3846392251042,0.0195017398498774,0.0623837145372869,idle
8.165,-0.459402414999802,0.295236680993503,0.845059876281019,-0.151672931956318,-0.291357485044421,0.154930401990102,-0.990994345419151,0.0563324851058286,-0.305262223327642,-0.612812175210051,-0.0062261519014385,0.141963751106804,-0.996816710870559,-0.203671432890489,-0.0677126647522248,0.0558546787326736,-0.120266914021039,-0.231801518634819,-1.01917989181356,-0.100284205901882,0.184817963137711,0.388834923047218,0.0179461432650763,0.0676837689907712,idle
8.17,-0.437730358959252,0.356450163217396,0.861760633359964,-0.193923529204101,-0.278649236104264,0.124217107789774,-1.01723047672953,0.078886295909657,-0.295706232870705,-0.614031499409508,-0.0247670723756628,0.159651640526864,-1.01432033927405,-0.185094579602635,-0.0696784419473898,0.0773220919281589,-0.118155054748058,-0.215852604881426,-1.01680919969908,-0.0887701372444922,0.181978505912837,0.399011062442183,0.0247609570262646,0.0730891525745392,idle
8.175,-0.429315774213701,0.371937388785974,0.884968115620536,-0.214345910438231,-0.276149432608438,0.111755784893755,-1.05716028483609,0.0953300600201859,-0.290530966311143,-0.594698838747981,-0.0269160954257907,0.179301214984689,-1.03861392693836,-0.170741427349421,-0.06700524039334,0.0658444452121755,-0.118155054748058,-0.206963223808371,-1.01257674464581,-0.0782958980157598,0.181605943295041,0.396932512858458,0.0309629328548908,0.0773698421442057,idle
