time_ms,left_accel_x,left_accel_y,left_accel_z,left_gyro_x,left_gyro_y,left_gyro_z,right_accel_x,right_accel_y,right_accel_z,right_gyro_x,right_gyro_y,right_gyro_z
5278,0.679,-0.242,-0.024,0.23,0.01,0.6,0.949,0.196,0.179,-0.23556,-0.00444,0.20222
5372,0.986,-0.573,-0.166,0.30222,-0.19,1.12889,0.975,0.118,0.159,-0.47111,0.02778,0.25667
5480,0.958,-0.341,0.023,-0.04778,0.31111,-0.18444,1.031,0.255,0.11,-0.45556,0.04222,0.27889
5577,1.121,-0.368,-0.386,-2.36111,0.35222,-0.04667,1.034,0.285,0.069,-0.33,-0.09,-0.25556
5681,1.042,-0.152,-0.242,-0.58444,0.11778,0.61556,0.967,0.156,-0.097,-0.85667,-0.15667,-1.37778
5781,1.055,0.026,-0.271,0.04556,0.08333,0.68556,1.084,0.247,0.253,0.55444,-0.40556,-1.91556
5877,0.991,0.086,-0.208,0.36333,0.04333,0.29,1.166,0.164,-0.026,0.89889,-0.45333,-1.49
5970,0.937,0.142,-0.199,0.60778,-0.02111,0.47889,0.858,0.038,0.114,0.92889,-0.34778,-0.99889
6081,0.958,0.036,-0.222,0.06333,-0.15,0.70667,0.759,-0.129,-0.079,-0.00444,-0.03444,-0.25222
6180,1.002,0.033,-0.256,0.24444,-0.15889,0.62889,0.856,-0.248,0.29,-0.21889,0.14111,0.54889
6279,0.956,0.098,-0.204,0.40111,-0.00667,0.37444,1.045,-0.472,0.025,0.14556,0.11444,0.70444
6380,0.991,0.045,-0.441,0.88,0.05222,-0.15444,1.067,-0.094,-0.01,0.14111,0.08222,0.77889
6484,1.193,0.064,-0.08,0.29889,0.28667,-0.95778,0.993,0.205,-0.022,-0.18222,-0.07556,0.42
6582,1.244,-0.031,0.007,-0.63111,0.04,-2.63667,0.884,0.261,0.334,0.39,0.01111,0.46889
6683,1.033,0.082,-0.424,-0.32444,0.49667,-1.76889,1.072,-0.077,-0.003,-0.20111,-0.19333,0.43444
6780,0.791,-0.214,-0.114,-0.93778,0.20444,-0.70778,0.908,0.21,0.282,-0.64333,-0.14333,0.14556
6881,0.643,-0.108,0.043,-0.45333,-0.06444,0.33889,0.976,0.128,0.147,0.16889,0.03778,0.52556
6977,0.903,-0.359,-0.269,1.08222,-0.54889,1.24778,1.007,0.095,0.228,-0.10222,0.08556,0.48111
7079,1.035,-0.686,-0.05,-0.37444,0.31222,-0.21111,0.961,0.239,0.178,-0.17333,0.07111,0.31222
7178,1.177,-0.203,-0.008,0.24333,-0.02667,0.57333,1.133,0.126,0.288,-1.05222,0.1,0.15333
7279,0.539,0.114,0.605,-0.05667,0.77333,-0.07,1.253,-0.125,0.154,-0.12222,-0.24,-0.91444
7381,0.914,0.187,-0.602,0.97778,0.06111,0.90444,1.287,0.134,0.154,-0.06222,0.04889,-3.16556
7475,0.972,-0.044,0.0,0.95556,0.11778,0.81111,0.982,0.08,0.156,1.51,-0.48889,-1.71667
7579,0.913,0.132,-0.211,1.02333,0.10444,0.56111,0.631,-0.111,0.024,1.34778,-0.48889,-0.5
7681,0.944,0.071,-0.24,0.51444,-0.11444,0.54556,0.665,-0.085,-0.023,0.28111,-0.30889,0.49444
7779,0.93,0.022,-0.286,0.12556,-0.15667,0.63111,0.986,-0.353,0.295,-0.45556,0.28,1.01889
7878,0.966,0.122,-0.234,0.30333,-0.01,0.46889,1.259,-0.57,-0.014,-0.81667,-0.15333,0.25333
7980,1.116,-0.083,-0.295,0.78333,0.17667,-0.13333,1.001,0.047,0.224,1.12556,0.05,1.04222
8080,1.184,0.022,-0.093,0.12444,0.17,-2.32,0.469,0.734,-0.281,-1.00333,-0.52444,0.67111
8179,1.286,0.153,-0.43,-0.03889,0.74778,-2.56222,1.011,0.217,0.146,-0.44889,-0.23667,0.82
8279,0.853,-0.149,0.012,-2.48111,0.28333,-1.50556,0.943,0.15,0.205,-1.73556,-0.13667,0.12
8379,0.478,-0.048,-0.007,-0.79222,0.27667,-0.20222,0.904,0.132,0.187,-0.30778,0.03,0.47
8476,0.585,-0.34,-0.201,0.47556,-0.16,1.02556,1.0,0.061,0.167,-0.23444,0.07,0.64889
8574,1.294,-0.792,-0.207,0.24,0.00556,1.27111,0.974,0.199,0.329,-0.69111,0.05556,0.37778
8676,1.165,-0.356,-0.035,-0.60222,0.09333,0.26556,1.251,0.031,0.398,-0.74889,0.05333,0.04333
8776,0.792,0.215,0.401,0.01111,0.61,-0.30333,1.166,-0.099,-0.043,-0.33778,-0.01111,-1.96889
8879,0.978,0.221,-0.509,0.71778,-0.30667,0.70222,1.46,0.337,0.486,-1.08667,-0.86444,-2.42667
8978,0.931,0.038,-0.066,1.05889,0.16222,1.15778,0.943,0.01,0.113,2.49667,-0.35889,-1.35444
9077,0.931,0.02,-0.286,1.10556,-0.04778,0.89889,0.58,0.05,-0.036,1.46444,-0.05444,-0.45667
9178,0.948,0.028,-0.124,0.48556,-0.17778,0.81444,0.645,-0.283,-0.1,-1.01556,-0.11444,0.88111
9279,0.931,0.008,-0.437,0.71889,-0.05556,0.59,1.384,-0.699,0.48,1.72,0.29667,1.54667
9375,1.373,-0.247,-0.351,0.80778,0.25,-0.18889,0.953,0.299,-0.074,1.24556,-0.07889,1.14667
9476,1.474,0.034,0.037,-0.67667,0.21222,-3.05556,0.561,0.842,0.198,-1.07111,-0.05111,1.09111
9578,1.142,0.299,-0.466,-1.28667,1.05333,-2.66778,1.062,-0.007,-0.352,-0.43778,-0.54333,0.75222
9679,0.585,-0.105,0.003,-1.44,0.25778,-1.65,0.915,0.271,0.361,-1.64333,-0.14556,0.51889
9777,0.251,-0.044,0.145,-0.19889,0.05,0.54333,0.947,0.089,0.099,-0.63667,0.06111,0.76556
9877,1.439,-0.736,-0.501,0.34222,-0.71556,2.31556,0.911,0.097,0.225,-1.12333,0.09222,0.49111
9978,1.526,-0.411,0.114,-1.54889,-0.07,0.42333,1.42,0.075,0.527,-0.15222,0.07,0.29667
10067,0.182,0.66,0.274,1.25667,0.56,-0.28111,1.148,-0.158,-0.23,0.25889,0.07556,-2.18222
10172,0.886,0.068,-0.144,-0.63,-0.20222,1.14,1.461,0.211,0.497,-0.75667,-0.98333,-2.54
10277,0.924,0.088,-0.165,0.90889,0.01333,1.30778,0.853,-0.065,0.118,2.07778,-0.51444,-1.68667
10380,0.966,-0.011,-0.195,0.81111,-0.13556,0.96333,0.388,0.11,-0.044,1.27444,0.15222,-0.49333
10477,0.956,-0.081,-0.295,0.51667,-0.13,0.92444,0.64,-0.456,0.089,-1.51222,0.1,1.66111
10578,1.067,0.213,-0.515,0.56889,-0.00667,0.31333,1.699,-0.904,0.424,1.14667,-0.45,0.77667
10679,1.392,-0.089,-0.093,0.54889,0.19889,-1.45333,1.935,-0.059,0.195,0.75778,0.33,2.23889
10765,1.494,0.306,-0.24,-0.04889,1.06222,-3.04778,1.09,0.484,0.279,0.24,0.15778,1.89667
10876,1.037,0.183,-0.206,-2.48667,0.55,-2.24444,0.875,0.02,-0.256,-1.09333,-0.46222,0.46333
10979,0.295,-0.007,-0.015,-0.79222,-0.04556,-0.71889,0.887,0.235,0.344,-1.23778,0.01333,0.63
11084,0.3,-0.162,0.193,0.45778,-0.27111,1.33778,0.924,-0.059,0.085,-0.45667,0.06222,1.00333
11180,1.427,-0.815,-0.378,-0.07333,0.73778,0.24444,1.105,0.296,0.559,-0.83222,0.17889,0.44444
11283,1.202,-0.263,-0.658,-0.15556,0.30444,0.18778,1.34,-0.189,0.216,-0.64111,-0.13667,-0.58444
11384,0.847,-0.116,-0.169,-0.97889,0.21111,0.91,1.381,0.256,0.134,0.06333,-0.10111,-3.42667
11493,1.013,0.079,-0.484,0.87,0.07889,1.50556,1.079,0.166,0.13,2.14667,-0.76778,-2.05
11584,0.912,0.059,-0.096,1.47111,-0.14333,1.31667,0.39,-0.026,-0.106,1.45556,-0.54,-1.34222
11677,0.938,-0.058,-0.335,0.72222,-0.21667,0.88,0.498,0.086,-0.124,0.02,0.11778,0.71889
11783,0.904,0.064,-0.378,0.75333,-0.03556,0.55556,1.6,-0.958,0.504,-0.25667,0.71333,2.18
11878,1.311,-0.18,-0.19,0.21222,0.32,-0.16333,0.232,0.209,-0.246,1.19,-0.13444,0.57333
11978,1.52,0.145,-0.164,-0.02,0.35889,-3.50889,0.597,0.604,-0.006,-0.6,-0.35778,0.91111
12080,1.162,0.224,-0.321,-1.86889,0.78,-2.42111,0.967,-0.088,0.33,-0.95333,-0.60778,0.75
12176,0.498,-0.061,-0.119,-1.71,0.31889,-1.55333,0.869,0.288,0.281,-1.58111,-0.08333,0.43556
12283,0.372,0.033,0.106,-0.16444,0.00889,0.91667,0.974,0.084,0.094,-0.24444,0.13556,1.02
12382,1.263,-0.885,-0.515,0.81889,-0.62333,1.90333,0.969,0.127,0.259,-0.84222,0.11333,0.49
12478,1.276,-0.598,0.349,-0.60111,-0.18222,0.58889,1.359,-0.037,0.379,-0.38111,0.00111,0.00444
12578,0.799,0.384,0.07,1.75333,0.24444,0.91667,1.124,-0.221,-0.14,0.07111,0.16,-2.08556
12671,0.949,0.094,-0.268,0.40667,-0.14667,1.24,1.388,0.204,0.447,0.68778,-1.16778,-2.36556
12773,0.917,0.047,-0.131,0.71222,-0.10111,1.31111,0.755,-0.031,0.082,1.46,-0.62111,-1.98889
12874,0.911,0.013,-0.256,1.10111,-0.23222,0.96444,0.423,0.092,-0.027,0.79556,0.10111,-0.64222
12973,0.976,0.0,-0.205,0.14333,-0.06667,0.85222,0.751,-0.343,0.02,-0.45,0.29444,1.63889
13076,1.108,0.102,-0.52,1.05222,0.09667,0.11,1.351,-0.828,0.44,0.29778,-0.23778,0.73444
13170,1.447,-0.019,-0.209,0.19,0.16111,-1.90778,1.659,0.0,0.145,1.42556,-0.11222,1.2
13276,1.505,0.197,-0.294,0.25,1.02778,-2.81667,1.101,0.377,0.495,0.39,0.25667,1.49556
13370,0.989,0.137,-0.115,-3.05333,0.58556,-2.01333,0.925,-0.087,-0.222,-0.89667,-0.37444,0.44333
13480,0.344,-0.04,-0.013,-0.93333,0.12889,-0.61222,0.86,0.134,0.302,-0.65778,-0.09,0.63556
13576,0.365,-0.192,0.251,0.85667,-0.12,1.40778,0.905,0.013,0.109,-0.43667,0.10556,0.94444
13677,1.376,-0.558,-0.447,-0.83333,0.45667,0.29889,1.117,0.186,0.599,-0.79333,0.15333,0.30222
13776,1.39,-0.043,-0.454,-0.39778,0.26333,0.72444,1.421,-0.269,0.138,-0.25778,-0.19,-1.29
13877,1.054,-0.163,-0.376,-0.98333,-0.30556,1.02667,1.579,0.437,0.473,-0.56,-0.64444,-3.16
13972,0.962,-0.114,-0.171,0.91667,0.05333,1.36444,1.006,0.121,0.151,2.10556,-0.58222,-2.03556
14076,0.906,0.052,-0.063,0.87222,-0.13778,1.22222,0.298,-0.008,-0.144,1.06222,-0.32556,-0.60889
14171,0.971,-0.02,-0.449,0.23444,-0.18222,0.9,0.459,-0.029,-0.107,-0.38889,0.31,1.49889
