time_ms,left_accel_x,left_accel_y,left_accel_z,left_gyro_x,left_gyro_y,left_gyro_z,right_accel_x,right_accel_y,right_accel_z,right_gyro_x,right_gyro_y,right_gyro_z
77,-0.975,-0.068,0.199,0.00556,0.0,0.00222,-1.002,-0.059,-0.057,-0.00333,0.0,-0.00111
178,-0.97,-0.069,0.196,0.0,-0.00111,0.00444,-0.999,-0.058,-0.057,0.00667,0.0,0.00333
282,-0.971,-0.072,0.198,0.00556,-0.00222,0.00778,-1.0,-0.057,-0.059,0.01,0.00111,0.01222
374,-0.972,-0.068,0.198,0.0,-0.00222,0.0,-0.997,-0.055,-0.057,0.01222,0.0,0.00444
474,-0.972,-0.067,0.203,0.00222,-0.00333,0.0,-0.999,-0.048,-0.054,0.00556,0.0,0.01
572,-0.973,-0.063,0.198,0.01222,-0.00667,0.0,-0.995,-0.053,-0.067,0.00778,0.00111,0.01556
682,-0.974,-0.071,0.198,-0.00222,-0.00333,0.0,-0.998,-0.051,-0.06,-0.02,-0.00667,-0.00556
777,-0.975,-0.061,0.208,0.00111,-0.00556,-0.00111,-1.002,-0.047,-0.05,-0.01889,0.0,0.00222
876,-0.968,-0.065,0.211,0.03333,0.00222,-0.00444,-1.0,-0.055,-0.051,0.02,0.0,0.01
979,-0.971,-0.062,0.212,0.04889,0.00556,-0.01444,-1.003,-0.042,-0.046,0.03222,0.00111,-0.01111
1075,-0.973,-0.078,0.194,0.03222,0.00222,-0.00222,-0.996,-0.054,-0.064,0.04444,0.00444,0.01
1180,-0.974,-0.07,0.199,-0.00333,0.0,-0.00667,-1.0,-0.047,-0.063,-0.00889,-0.00111,-0.00333
1284,-0.971,-0.069,0.204,-0.02556,-0.00222,0.01,-0.998,-0.049,-0.055,-0.01,0.0,0.00556
1381,-0.969,-0.063,0.208,-0.00111,0.0,0.0,-1.001,-0.046,-0.054,-0.01556,0.00111,-0.00778
1479,-0.971,-0.074,0.203,-0.00333,0.00111,0.00333,-1.001,-0.048,-0.059,-0.00333,0.00222,0.01
1579,-0.969,-0.069,0.206,-0.00444,0.00111,0.00333,-0.997,-0.056,-0.057,-0.01333,0.00111,-0.00222
1678,-0.972,-0.062,0.203,0.00333,0.00111,0.0,-0.998,-0.045,-0.062,0.01,0.0,0.00111
1776,-0.975,-0.065,0.197,-0.00556,0.00222,-0.00111,-0.998,-0.041,-0.06,-0.01,0.00111,0.0
1880,-0.971,-0.078,0.194,-0.02444,-0.00333,0.01,-0.997,-0.058,-0.069,-0.02111,-0.00889,-0.01
1978,-0.971,-0.053,0.214,-0.01,-0.00111,-0.00111,-1.002,-0.053,-0.045,-0.01222,-0.00444,-0.00222
2071,-0.967,-0.063,0.201,0.06222,0.0,-0.00778,-0.999,-0.046,-0.057,0.06889,0.0,0.02111
2177,-0.973,-0.067,0.198,0.0,0.0,-0.01111,-0.997,-0.036,-0.069,-0.00667,-0.00556,-0.01444
2277,-0.972,-0.067,0.208,-0.02556,-0.00667,0.00889,-1.0,-0.046,-0.052,-0.01222,-0.00444,0.01556
2381,-0.97,-0.066,0.2,-0.01111,-0.00333,0.0,-0.998,-0.053,-0.062,-0.01,-0.00222,-0.00111
2477,-0.974,-0.062,0.205,-0.01556,-0.00222,-0.00111,-1.006,-0.042,-0.047,-0.01111,-0.00556,-0.00556
2578,-0.968,-0.057,0.211,0.00444,0.0,-0.00111,-0.999,-0.045,-0.051,0.00444,0.00111,0.00667
2677,-0.971,-0.071,0.204,0.01778,-0.00111,0.0,-1.0,-0.04,-0.06,0.00333,0.00222,0.00333
2773,-0.978,-0.065,0.203,-0.00556,0.00333,0.00333,-0.999,-0.013,-0.062,-0.15778,-0.00889,-0.02
2879,-0.972,-0.062,0.202,-0.04,-0.00444,0.0,-0.982,-0.07,-0.062,-0.02,0.01,-0.01
2976,-0.967,-0.049,0.216,0.01333,0.0,-0.01333,-0.996,-0.054,-0.04,-0.03556,0.00667,-0.02
3074,-0.97,-0.066,0.205,0.01111,0.0,0.0,-0.993,-0.061,-0.064,-0.00444,0.00556,-0.03111
3175,-0.972,-0.065,0.203,0.01111,0.00778,-0.01556,-1.001,-0.08,-0.065,-0.00778,-0.00889,-0.06667
3271,-0.973,-0.074,0.202,0.01222,0.0,0.00111,-1.0,-0.067,-0.053,0.01444,0.00667,-0.01111
3382,-0.972,-0.068,0.194,-0.01444,0.00222,0.0,-0.993,-0.061,-0.065,-0.01556,0.00333,-0.01889
3481,-0.972,-0.057,0.211,0.0,0.0,0.00333,-0.999,-0.062,-0.052,-0.00556,0.0,-0.01222
3576,-0.972,-0.061,0.198,0.01778,0.00444,-0.00333,-0.999,-0.069,-0.068,0.02667,-0.00111,-0.00111
3680,-0.969,-0.065,0.206,-0.01556,0.00556,0.00333,-0.995,-0.069,-0.062,-0.03778,-0.00111,-0.01222
3782,-0.974,-0.06,0.198,-0.01222,0.00111,-0.00111,-1.002,-0.066,-0.058,-0.00556,-0.00667,-0.02222
3876,-0.974,-0.051,0.19,-0.00111,0.00111,-0.01,-0.994,-0.079,-0.064,0.00667,-0.00111,-0.00556
3979,-0.976,-0.057,0.203,-0.00667,-0.00778,-0.01333,-1.003,-0.068,-0.057,0.00333,0.0,-0.00556
4071,-0.968,-0.096,0.198,-0.01,-0.00889,0.02111,-1.002,-0.09,-0.035,0.08,0.00556,0.02333
4176,-0.967,-0.075,0.19,-0.03,0.00222,0.0,-0.991,-0.092,-0.066,-0.01889,0.00111,-0.02667
4276,-0.978,-0.052,0.198,-0.02889,-0.00444,0.00889,-1.0,-0.068,-0.073,0.01556,0.00333,0.0
4372,-0.975,-0.052,0.208,-0.02333,-0.00556,0.01,-1.001,-0.061,-0.059,-0.00889,-0.00111,-0.00111
4477,-0.961,-0.056,0.217,-0.06333,0.00222,0.0,-0.988,-0.059,-0.05,0.00667,-0.01333,0.01778
4577,-0.971,-0.054,0.212,-0.01556,0.00111,-0.02778,-1.002,-0.069,-0.05,-0.01444,-0.01,-0.03333
4676,-0.976,-0.062,0.182,-0.01,0.01889,-0.04111,-1.0,-0.07,-0.066,0.11333,-0.02556,0.01667
4771,-0.973,-0.085,0.193,-0.05333,0.00333,-0.03889,-1.004,-0.078,-0.052,0.02222,-0.00444,0.0
4877,-0.969,-0.088,0.2,-0.01778,-0.00111,-0.00111,-0.999,-0.094,-0.038,-0.04556,0.0,-0.01
4978,-0.972,-0.078,0.196,0.02556,0.00778,-0.01667,-0.995,-0.084,-0.059,-0.02333,-0.00444,-0.03667
5073,-0.976,-0.072,0.201,-0.00444,0.0,-0.01444,-1.004,-0.062,-0.056,-0.02222,0.0,-0.02889
5169,-0.978,-0.077,0.204,-0.00778,0.00222,-0.00111,-0.998,-0.083,-0.051,0.02667,0.00667,0.01889
5279,-0.97,-0.093,0.185,-0.00667,-0.00222,0.00222,-0.997,-0.082,-0.057,0.01,0.00556,0.01
5374,-0.972,-0.08,0.199,-0.01778,0.00667,-0.00667,-1.0,-0.082,-0.053,-0.03,0.00111,-0.01111
5476,-0.976,-0.088,0.19,0.0,0.00111,-0.00333,-1.001,-0.086,-0.044,-0.00556,0.00111,0.00222
5574,-0.972,-0.085,0.19,0.01667,0.00333,0.00667,-0.994,-0.083,-0.054,0.01111,0.00556,0.00222
5675,-0.971,-0.066,0.19,0.00222,-0.00222,0.02,-0.997,-0.08,-0.062,0.00889,0.0,-0.00444
5771,-0.974,-0.066,0.208,0.01556,-0.00111,0.01,-1.011,-0.07,-0.049,0.01444,0.0,-0.00556
5879,-0.973,-0.085,0.183,0.01333,0.00111,0.0,-0.992,-0.084,-0.062,0.05,0.00333,0.02778
5977,-0.978,-0.072,0.198,-0.00222,-0.00111,-0.00111,-0.998,-0.083,-0.052,-0.00778,0.0,-0.00556
6081,-0.971,-0.073,0.189,0.00778,0.0,0.00111,-0.995,-0.072,-0.071,0.01111,-0.00333,0.00778
6177,-0.974,-0.067,0.201,-0.02222,-0.00222,-0.00111,-1.005,-0.064,-0.058,-0.03667,-0.00444,-0.00556
6272,-0.973,-0.073,0.202,-0.01,-0.00556,0.00222,-0.999,-0.083,-0.054,-0.00444,-0.00111,0.00222
6369,-0.973,-0.077,0.189,0.0,-0.00556,-0.00444,-0.995,-0.079,-0.055,-0.01,-0.00333,-0.00556
6468,-0.969,-0.069,0.201,-0.00778,0.0,0.00889,-1.0,-0.076,-0.047,-0.02222,0.0,-0.00222
6577,-0.973,-0.073,0.196,-0.00667,-0.00222,0.00333,-0.998,-0.072,-0.059,0.00222,0.00111,0.0
6673,-0.975,-0.077,0.198,0.00444,0.00556,-0.01778,-1.0,-0.069,-0.054,-0.00778,0.00444,0.0
6773,-0.968,-0.073,0.199,0.00111,0.00222,-0.00333,-0.997,-0.073,-0.051,0.00889,0.0,-0.00333
6885,-0.972,-0.075,0.193,0.02,0.00444,-0.00111,-0.999,-0.07,-0.058,-0.00111,0.00444,-0.00222
6981,-0.974,-0.068,0.193,-0.00667,-0.00111,0.00556,-0.995,-0.078,-0.06,0.0,0.0,-0.00556
7082,-0.973,-0.078,0.189,-0.00556,-0.00333,0.0,-0.995,-0.077,-0.056,0.01667,0.0,0.00333
7183,-0.974,-0.067,0.2,0.0,0.00333,-0.00222,-0.996,-0.081,-0.057,0.00778,-0.00333,-0.01
7275,-0.972,-0.069,0.196,0.00778,0.00222,0.0,-1.0,-0.067,-0.049,0.00778,0.00556,0.0
7379,-0.975,-0.073,0.192,0.00667,0.00444,-0.00444,-0.996,-0.087,-0.064,0.01778,0.00667,0.0
7482,-0.976,-0.076,0.186,0.00333,0.00667,-0.00222,-1.0,-0.077,-0.065,0.0,0.00111,-0.00333
7584,-0.964,-0.083,0.194,-0.01333,-0.00222,0.0,-0.987,-0.083,-0.059,-0.01,0.00556,-0.00556
7683,-1.004,-0.118,0.202,-0.05667,0.03556,-0.06333,-0.992,-0.106,-0.063,-0.00667,0.00222,-0.1
7781,-0.968,-0.109,0.184,-0.05556,0.02222,-0.05778,-0.984,-0.11,-0.043,-0.08889,0.03,-0.02778
7881,-0.961,-0.115,0.19,-0.05,0.05333,-0.05111,-0.993,-0.14,-0.066,-0.03778,0.02,-0.08667
7983,-0.986,-0.105,0.169,-0.00333,0.08556,-0.09778,-0.985,-0.127,-0.072,-0.02,0.02,-0.12222
8081,-0.977,-0.118,0.149,-0.01222,0.05333,-0.08,-1.011,-0.126,-0.067,0.02778,0.02333,-0.11
8182,-0.975,-0.129,0.139,0.04333,0.05889,-0.07556,-0.979,-0.159,-0.075,0.09667,0.02111,-0.04889
8281,-0.963,-0.144,0.145,0.06111,0.04111,-0.05889,-0.994,-0.139,-0.082,0.04889,0.01889,-0.06889
8378,-0.977,-0.124,0.161,0.01556,0.03444,-0.06333,-1.011,-0.125,-0.091,0.00111,0.02333,-0.06778
8477,-0.976,-0.121,0.158,0.00667,0.02778,-0.03,-1.001,-0.133,-0.05,0.0,0.04889,-0.06222
8574,-0.981,-0.113,0.196,0.09333,0.04778,0.02,-0.975,-0.166,-0.074,0.10778,0.07222,-0.02333
8674,-0.969,-0.145,0.168,0.16111,0.01111,0.08333,-0.995,-0.148,-0.044,0.05778,0.06889,-0.07
8773,-0.935,-0.165,0.116,0.09444,0.09,-0.14333,-0.99,-0.179,-0.088,0.20667,0.04222,-0.08222
8873,-1.009,-0.133,0.164,0.00889,0.12667,-0.11,-1.025,-0.166,-0.116,-0.10444,0.07,-0.17556
8969,-1.007,-0.036,0.196,0.24667,-0.03,0.34778,-0.966,-0.194,-0.108,-0.15,0.08778,-0.04
9075,-1.0,-0.046,0.182,0.42556,-0.02333,0.37222,-0.967,-0.166,-0.102,0.03667,0.08889,-0.10667
9174,-1.114,0.143,0.183,0.83,-0.19667,1.25,-0.978,-0.267,-0.198,-0.12111,0.01,-0.15
9272,-1.02,0.03,0.27,1.24,-0.47778,1.51222,-1.019,-0.136,-0.151,-0.14556,-0.06444,-0.19222
9376,-0.842,0.241,0.07,0.80222,-0.27,0.86,-0.979,-0.235,-0.187,0.19,0.04111,-0.12556
9470,-0.638,0.21,0.061,0.13,-0.07556,-0.10556,-0.986,-0.119,-0.109,0.18111,0.01778,-0.27556
9567,-0.834,0.471,0.209,-0.05889,0.11778,-0.70333,-0.965,-0.186,-0.12,0.18222,-0.00222,-0.35
9673,-1.149,0.634,0.24,0.21,0.04,-0.61111,-1.003,-0.154,-0.185,0.83111,0.0,-0.27889
9774,-0.877,0.182,0.215,-0.45778,0.06889,-0.12444,-1.179,-0.077,-0.283,0.71667,0.03,0.04
9872,-0.689,-0.348,-0.506,-0.62222,-0.45444,-0.27,-1.1,-0.137,0.246,0.71111,0.25,1.32444
9973,-0.862,-0.196,0.229,0.03778,-0.00667,-0.78,-1.122,-0.361,-0.311,1.03889,0.41,2.17556
10075,-0.974,-0.017,0.213,-0.66889,0.01333,-0.59333,-1.099,-0.129,0.066,-1.42889,0.53556,1.60556
10177,-0.923,-0.049,0.278,-0.31667,-0.01667,-0.36556,-0.851,-0.058,-0.006,-0.77778,0.20889,1.23444
10267,-0.959,-0.062,0.184,-0.42,0.08444,-0.51,-0.708,0.183,0.017,0.57222,-0.05222,0.02
10371,-0.95,-0.074,0.279,-0.35111,0.08,-0.55667,-0.875,0.27,-0.3,-0.04,-0.17333,-0.89222
10476,-0.936,-0.064,0.298,-0.6,0.00333,-0.31667,-1.197,0.706,0.038,-0.83,0.03444,-0.30111
10571,-0.937,-0.027,0.362,-1.10333,-0.12222,-0.02111,-1.056,0.031,0.044,0.01889,-0.18111,-0.95111
10676,-1.262,-0.163,0.272,-0.67889,-0.13111,0.50444,-0.89,0.145,-0.043,-1.00889,0.38556,-0.13667
10777,-1.14,0.073,-0.148,0.03111,0.05444,2.14111,-1.051,0.188,-0.429,-0.41778,0.08333,-0.46
10870,-1.025,-0.095,0.605,0.93333,-0.52333,1.59556,-1.09,0.132,-0.07,-0.82333,0.34,-0.41
10971,-0.925,0.174,0.115,1.14111,-0.39889,0.9,-0.941,-0.185,-0.156,0.65,0.20444,-0.28
11073,-0.769,0.157,0.104,1.08889,-0.19444,0.13111,-0.916,-0.161,-0.127,0.38222,0.11556,-0.44111
11173,-0.778,0.241,0.077,0.16667,-0.05222,-0.44333,-0.989,-0.139,-0.146,0.43111,0.03,-0.48111
11268,-1.028,0.432,0.287,-0.04667,0.23111,-0.69667,-0.948,-0.187,-0.171,0.30111,-0.00778,-0.48444
11371,-0.814,0.488,0.094,0.26222,-0.3,0.49222,-0.978,-0.218,-0.029,0.63778,-0.02667,-0.35667
11475,-1.087,0.168,0.182,0.87444,0.10778,-0.45333,-1.199,-0.043,-0.57,1.02889,-0.14444,-0.25
11575,-0.447,-0.345,-0.655,-0.6,-0.75,0.14,-1.262,0.02,0.134,0.37778,0.18,1.53
11677,-0.939,-0.138,0.494,-0.44889,0.16667,-0.76333,-1.292,-0.439,-0.478,1.34,0.63889,2.17
11771,-0.993,0.049,0.098,-1.30889,0.00444,-0.83111,-1.102,-0.047,0.027,-1.96667,0.47,1.35889
11878,-0.915,0.009,0.33,-0.83222,0.06222,-0.74444,-0.762,-0.064,-0.038,-1.44,0.09556,0.79222
11969,-0.911,-0.059,0.248,-0.92111,0.12667,-0.67444,-0.615,0.126,0.104,0.70111,0.07667,-0.07556
12074,-0.945,0.049,0.339,-0.54667,0.35556,-1.14889,-1.114,0.538,-0.408,-0.42889,-0.54667,-1.24667
12169,-1.013,0.089,0.308,-0.79222,-0.02556,0.04667,-0.769,0.248,0.293,-0.49556,0.27,0.88556
12275,-1.404,0.119,-0.028,0.79333,-0.12778,2.25,-0.566,-0.311,0.217,-1.12,0.86222,0.54333
12370,-1.329,-0.05,0.301,0.51,-0.85889,2.15222,-1.103,-0.151,-0.46,0.31222,0.21,-1.04778
12479,-0.809,0.019,0.1,1.66333,-0.30556,1.53222,-0.901,-0.091,-0.128,1.55111,0.20556,-1.05667
12570,-0.498,-0.046,0.115,1.32667,0.10333,0.23111,-0.952,-0.098,-0.314,0.70667,-0.1,-0.97
12671,-0.578,0.463,0.147,-0.92,0.02,-0.97111,-0.945,-0.084,-0.045,1.03111,-0.05889,-1.02333
12766,-1.493,0.805,0.494,0.87889,-0.30667,-0.25667,-0.994,-0.076,-0.427,0.59111,-0.23,-0.61444
12875,-1.227,0.488,0.448,0.02333,0.07,-0.31333,-1.5,0.12,-0.203,1.11,-0.1,0.54333
12974,-0.665,0.183,-0.221,-0.04111,0.17667,-1.21667,-1.386,-0.504,-0.353,0.60222,0.72889,2.69889
13069,-0.92,0.017,0.102,-0.31,-0.00889,-1.69667,-1.255,-0.191,0.053,-2.36556,0.67333,1.84556
13171,-0.859,-0.122,0.295,-1.57111,0.12889,-1.20889,-0.452,-0.069,-0.052,-1.09333,0.43222,1.43333
